path,digit
train/0a.png,0
train/0b.png,0
train/0c.png,0
train/0d.png,0
train/0e.png,0
train/1a.png,1
train/1b.png,1
train/1c.png,1
train/1d.png,1
train/1e.png,1
train/2a.png,2
train/2b.png,2
train/2c.png,2
train/2d.png,2
train/2e.png,2
train/3a.png,3
train/3b.png,3
train/3c.png,3
train/3d.png,3
train/3e.png,3
train/4a.png,4
train/4b.png,4
train/4c.png,4
train/4d.png,4
train/4e.png,4
train/5a.png,5
train/5b.png,5
train/5c.png,5
train/5d.png,5
train/5e.png,5
train/6a.png,6
train/6b.png,6
train/6c.png,6
train/6d.png,6
train/6e.png,6
train/7a.png,7
train/7b.png,7
train/7c.png,7
train/7d.png,7
train/7e.png,7
train/8a.png,8
train/8b.png,8
train/8c.png,8
train/8d.png,8
train/8e.png,8
train/9a.png,9
train/9b.png,9
train/9c.png,9
train/9d.png,9
train/9e.png,9
